Test Case ID,Modul,Komponen / Kondisi Uji,Langkah-Langkah,Hasil yang Diharapkan,Jenis,Level,Stack,File Sumber,Job CI,Status
TC-AK-001,Aplikasi & Kontrak,AllPackagesStaffed,"1. bun run test  2. File: apps/project-service/src/lib/team-assignment.test.ts  3. Kasus: ""Is complete when every package is assigned or beyond""",Is complete when every package is assigned or beyond,TDD,Unit,TypeScript,apps/project-service/src/lib/team-assignment.test.ts,test-unit,Pass
TC-AK-002,Aplikasi & Kontrak,AllPackagesStaffed,"1. bun run test  2. File: apps/project-service/src/lib/team-assignment.test.ts  3. Kasus: ""Is not complete while an offer is still pending""",Is not complete while an offer is still pending,TDD,Unit,TypeScript,apps/project-service/src/lib/team-assignment.test.ts,test-unit,Pass
TC-AK-003,Aplikasi & Kontrak,AllPackagesStaffed,"1. bun run test  2. File: apps/project-service/src/lib/team-assignment.test.ts  3. Kasus: ""Is not complete with no packages""",Is not complete with no packages,TDD,Unit,TypeScript,apps/project-service/src/lib/team-assignment.test.ts,test-unit,Pass
TC-AK-004,Aplikasi & Kontrak,AssertAssignmentPending,"1. bun run test  2. File: apps/project-service/src/lib/team-assignment.test.ts  3. Kasus: ""Accepts a live pending offer""",Accepts a live pending offer,TDD,Unit,TypeScript,apps/project-service/src/lib/team-assignment.test.ts,test-unit,Pass
TC-AK-005,Aplikasi & Kontrak,AssertAssignmentPending,"1. bun run test  2. File: apps/project-service/src/lib/team-assignment.test.ts  3. Kasus: ""Rejects a terminated assignment""",Rejects a terminated assignment,TDD,Unit,TypeScript,apps/project-service/src/lib/team-assignment.test.ts,test-unit,Pass
TC-AK-006,Aplikasi & Kontrak,AssertAssignmentPending,"1. bun run test  2. File: apps/project-service/src/lib/team-assignment.test.ts  3. Kasus: ""Rejects an offer already answered""",Rejects an offer already answered,TDD,Unit,TypeScript,apps/project-service/src/lib/team-assignment.test.ts,test-unit,Pass
TC-AK-007,Aplikasi & Kontrak,ValidateTeamAssignments,"1. bun run test  2. File: apps/project-service/src/lib/team-assignment.test.ts  3. Kasus: ""Accepts an empty batch""",Accepts an empty batch,TDD,Unit,TypeScript,apps/project-service/src/lib/team-assignment.test.ts,test-unit,Pass
TC-AK-008,Aplikasi & Kontrak,ValidateTeamAssignments,"1. bun run test  2. File: apps/project-service/src/lib/team-assignment.test.ts  3. Kasus: ""Rejects a package that is not open""",Rejects a package that is not open,TDD,Unit,TypeScript,apps/project-service/src/lib/team-assignment.test.ts,test-unit,Pass
TC-AK-009,Aplikasi & Kontrak,ValidateTeamAssignments,"1. bun run test  2. File: apps/project-service/src/lib/team-assignment.test.ts  3. Kasus: ""Rejects the same package staffed twice""",Rejects the same package staffed twice,TDD,Unit,TypeScript,apps/project-service/src/lib/team-assignment.test.ts,test-unit,Pass
TC-AK-010,Aplikasi & Kontrak,PATCH /applications/:id,"1. bun run test  2. File: apps/project-service/src/routes/application-accept-assignment.test.ts  3. Kasus: ""Creates nothing on any other transition""",Creates nothing on any other transition,ATDD,Kontrak API,TypeScript,apps/project-service/src/routes/application-accept-assignment.test.ts,test-unit,Pass
TC-AK-011,Aplikasi & Kontrak,PATCH /applications/:id,"1. bun run test  2. File: apps/project-service/src/routes/application-accept-assignment.test.ts  3. Kasus: ""Creates the assignment when the owner accepts""",Creates the assignment when the owner accepts,ATDD,Kontrak API,TypeScript,apps/project-service/src/routes/application-accept-assignment.test.ts,test-unit,Pass
TC-AK-012,Aplikasi & Kontrak,PATCH /applications/:id,"1. bun run test  2. File: apps/project-service/src/routes/application-accept-assignment.test.ts  3. Kasus: ""Picks an unassigned work package deterministically""",Picks an unassigned work package deterministically,ATDD,Kontrak API,TypeScript,apps/project-service/src/routes/application-accept-assignment.test.ts,test-unit,Pass
TC-AK-013,Aplikasi & Kontrak,PATCH /applications/:id,"1. bun run test  2. File: apps/project-service/src/routes/application-accept-assignment.test.ts  3. Kasus: ""Refuses to accept when no work package is free""",Refuses to accept when no work package is free,ATDD,Kontrak API,TypeScript,apps/project-service/src/routes/application-accept-assignment.test.ts,test-unit,Pass
TC-AK-014,Aplikasi & Kontrak,Application events,"1. bun run test  2. File: apps/project-service/src/routes/applications-integrity.test.ts  3. Kasus: ""Does not borrow the assignment subjects for an application decision""",Does not borrow the assignment subjects for an application decision,ATDD,Kontrak API,TypeScript,apps/project-service/src/routes/applications-integrity.test.ts,test-unit,Pass
TC-AK-015,Aplikasi & Kontrak,Application events,"1. bun run test  2. File: apps/project-service/src/routes/applications-integrity.test.ts  3. Kasus: ""Has its own accepted and rejected subjects""",Has its own accepted and rejected subjects,ATDD,Kontrak API,TypeScript,apps/project-service/src/routes/applications-integrity.test.ts,test-unit,Pass
TC-AK-016,Aplikasi & Kontrak,GET /projects/:projectId/applications,"1. bun run test  2. File: apps/project-service/src/routes/applications-integrity.test.ts  3. Kasus: ""Shows an applicant only their own application""",Shows an applicant only their own application,ATDD,Kontrak API,TypeScript,apps/project-service/src/routes/applications-integrity.test.ts,test-unit,Pass
TC-AK-017,Aplikasi & Kontrak,PATCH /contracts/:id/sign,"1. bun run test  2. File: apps/project-service/src/routes/contract-signing.test.ts  3. Kasus: ""Does not require a request body""",Does not require a request body,ATDD,Kontrak API,TypeScript,apps/project-service/src/routes/contract-signing.test.ts,test-unit,Pass
TC-AK-018,Aplikasi & Kontrak,PATCH /contracts/:id/sign,"1. bun run test  2. File: apps/project-service/src/routes/contract-signing.test.ts  3. Kasus: ""Has no role schema left to require""",Has no role schema left to require,ATDD,Kontrak API,TypeScript,apps/project-service/src/routes/contract-signing.test.ts,test-unit,Pass
TC-AK-019,Aplikasi & Kontrak,PATCH /contracts/:id/sign,"1. bun run test  2. File: apps/project-service/src/routes/contract-signing.test.ts  3. Kasus: ""Refuses a caller who is neither party""",Refuses a caller who is neither party,ATDD,Kontrak API,TypeScript,apps/project-service/src/routes/contract-signing.test.ts,test-unit,Pass
TC-AK-020,Aplikasi & Kontrak,PATCH /contracts/:id/sign,"1. bun run test  2. File: apps/project-service/src/routes/contract-signing.test.ts  3. Kasus: ""Works out the signing party from the session""",Works out the signing party from the session,ATDD,Kontrak API,TypeScript,apps/project-service/src/routes/contract-signing.test.ts,test-unit,Pass
TC-AK-021,Aplikasi & Kontrak,UseSignContract,"1. bun run test  2. File: apps/project-service/src/routes/contract-signing.test.ts  3. Kasus: ""Sends the PATCH the route now accepts""",Sends the PATCH the route now accepts,ATDD,Kontrak API,TypeScript,apps/project-service/src/routes/contract-signing.test.ts,test-unit,Pass
TC-AK-022,Aplikasi & Kontrak,Every project-scoped route,"1. bun run test  2. File: apps/project-service/src/routes/owner-check-adoption.test.ts  3. Kasus: ""Applications.ts asks the helper""",Applications.ts asks the helper,ATDD,Kontrak API,TypeScript,apps/project-service/src/routes/owner-check-adoption.test.ts,test-unit,Pass
TC-AK-023,Aplikasi & Kontrak,Every project-scoped route,"1. bun run test  2. File: apps/project-service/src/routes/owner-check-adoption.test.ts  3. Kasus: ""Applications.ts keeps no ownership-only select of its own""",Applications.ts keeps no ownership-only select of its own,ATDD,Kontrak API,TypeScript,apps/project-service/src/routes/owner-check-adoption.test.ts,test-unit,Pass
TC-AK-024,Aplikasi & Kontrak,Every project-scoped route,"1. bun run test  2. File: apps/project-service/src/routes/owner-check-adoption.test.ts  3. Kasus: ""Contracts.ts asks the helper""",Contracts.ts asks the helper,ATDD,Kontrak API,TypeScript,apps/project-service/src/routes/owner-check-adoption.test.ts,test-unit,Pass
TC-AK-025,Aplikasi & Kontrak,Every project-scoped route,"1. bun run test  2. File: apps/project-service/src/routes/owner-check-adoption.test.ts  3. Kasus: ""Contracts.ts keeps no ownership-only select of its own""",Contracts.ts keeps no ownership-only select of its own,ATDD,Kontrak API,TypeScript,apps/project-service/src/routes/owner-check-adoption.test.ts,test-unit,Pass
TC-AS-001,Autentikasi & Sesi,TestExtractPhones,"1. cd apps/ai-service && uv run pytest  2. Kasus: ""TestExtractPhones::test_no_phone""",No phone,TDD,Unit,Python,apps/ai-service/tests/test_cv_parser.py,test-python,Pass
