ID,Modul,Nama Kasus Uji,Tujuan Pengujian,Langkah-Langkah,Hasil yang Diharapkan,Jumlah Verifikasi,Jenis Pengujian,Level,Teknologi,File Sumber,Referensi Test,Job CI,Status
TC-AK-001,Aplikasi & Kontrak,Team assignment,Menentukan kapan sebuah tim dianggap lengkap terisi,"1. Jalankan bun run test. 2. Buka apps/project-service/src/lib/team-assignment.test.ts. 3. Jalankan blok ""Team assignment"".",Tim dinyatakan lengkap hanya jika semua work package sudah terisi. Tawaran yang masih menunggu jawaban tidak dihitung.,12,TDD (unit),Unit,TypeScript,apps/project-service/src/lib/team-assignment.test.ts,1) Is complete when every package is assigned or beyond; 2) Is not complete while an offer is still pending; 3) Is not complete with no packages; 4) Accepts a live pending offer; 5) Rejects a terminated assignment; 6) Rejects an offer already answered; 7) Accepts an empty batch; 8) Rejects a package that is not open; 9) Rejects the same package staffed twice; 10) Accepts one talent per open package; 11) Rejects a talent already assigned elsewhere on the project; 12) Rejects one talent taking two positions in the batch,test-unit,Lulus
TC-AK-002,Aplikasi & Kontrak,Application accept assignment,"Owner menerima lamaran, assignment ikut terbentuk dalam satu transaksi","1. Jalankan bun run test. 2. Buka apps/project-service/src/routes/application-accept-assignment.test.ts. 3. Jalankan blok ""Application accept assignment"".","Saat owner menerima lamaran, baris assignment ikut dibuat pada transaksi yang sama. Work package dipilih berurutan, dan lamaran ditolak jika tidak ada work package kosong.",5,ATDD (kontrak API),Kontrak API,TypeScript,apps/project-service/src/routes/application-accept-assignment.test.ts,1) Creates nothing on any other transition; 2) Creates the assignment when the owner accepts; 3) Picks an unassigned work package deterministically; 4) Refuses to accept when no work package is free; 5) Writes both inside the existing transaction,test-unit,Lulus
TC-AK-003,Aplikasi & Kontrak,Applications integrity,"Pelamar hanya melihat lamarannya sendiri, dan event terima/tolak tidak tertukar","1. Jalankan bun run test. 2. Buka apps/project-service/src/routes/applications-integrity.test.ts. 3. Jalankan blok ""Applications integrity"".","Pelamar hanya melihat lamarannya sendiri. Event terima dan tolak memakai subject masing-masing, tidak memakai subject talenta mundur.",4,ATDD (kontrak API),Kontrak API,TypeScript,apps/project-service/src/routes/applications-integrity.test.ts,1) Does not borrow the assignment subjects for an application decision; 2) Has its own accepted and rejected subjects; 3) Shows an applicant only their own application; 4) Lets a talent apply again after withdrawing or being rejected,test-unit,Lulus
TC-AK-004,Aplikasi & Kontrak,Contract signing,"Pihak penandatangan diambil dari sesi, bukan dari body request","1. Jalankan bun run test. 2. Buka apps/project-service/src/routes/contract-signing.test.ts. 3. Jalankan blok ""Contract signing"".","Peran penandatangan ditentukan dari sesi. Request tanpa body tetap diproses, dan pihak di luar owner atau talenta ditolak.",5,ATDD (kontrak API),Kontrak API,TypeScript,apps/project-service/src/routes/contract-signing.test.ts,1) Does not require a request body; 2) Has no role schema left to require; 3) Refuses a caller who is neither party; 4) Works out the signing party from the session; 5) Sends the PATCH the route now accepts,test-unit,Lulus
TC-AK-005,Aplikasi & Kontrak,Owner check adoption — Every project-scoped route / AssertProjectOwner,Setiap route project memakai helper kepemilikan yang sama,"1. Jalankan bun run test. 2. Buka apps/project-service/src/routes/owner-check-adoption.test.ts. 3. Jalankan blok ""Owner check adoption — Every project-scoped route / AssertProjectOwner"".","Semua route project memanggil assertProjectOwner, dan pesan penolakan tetap menyebut aksi yang ditolak.",11,ATDD (kontrak API),Kontrak API,TypeScript,apps/project-service/src/routes/owner-check-adoption.test.ts,1) Applications.ts asks the helper; 2) Applications.ts keeps no ownership-only select of its own; 3) Contracts.ts asks the helper; 4) Contracts.ts keeps no ownership-only select of its own; 5) Milestones.ts asks the helper; 6) Milestones.ts keeps no ownership-only select of its own; 7) Projects.ts asks the helper; 8) Projects.ts keeps no ownership-only select of its own; 9) Work-packages.ts asks the helper; 10) Work-packages.ts keeps no ownership-only select of its own; 11) Lets the caller say what is being refused,test-unit,Lulus
TC-AS-001,Autentikasi & Sesi,Test cv parser.py — TestExtractPhones,Ekstraksi data terstruktur dari teks CV,"1. Jalankan cd apps/ai-service && uv run pytest. 2. Buka apps/ai-service/tests/test_cv_parser.py. 3. Jalankan blok ""Test cv parser.py — TestExtractPhones"".","Pendidikan, pengalaman, dan skill terekstraksi dari teks CV. Teks kosong tidak menghasilkan data karangan.",6,TDD (unit),Unit,Python,apps/ai-service/tests/test_cv_parser.py,1) No phone; 2) Phone with dashes zero prefix; 3) Indonesian 62; 4) Indonesian plus62 no space; 5) Indonesian plus62 with space not matched; 6) Indonesian zero,test-python,Lulus
TC-AS-002,Autentikasi & Sesi,Test cv parser.py — TestParseCvText,Ekstraksi data terstruktur dari teks CV,"1. Jalankan cd apps/ai-service && uv run pytest. 2. Buka apps/ai-service/tests/test_cv_parser.py. 3. Jalankan blok ""Test cv parser.py — TestParseCvText"".","Pendidikan, pengalaman, dan skill terekstraksi dari teks CV. Teks kosong tidak menghasilkan data karangan.",11,TDD (unit),Unit,Python,apps/ai-service/tests/test_cv_parser.py,1) Extracts phone; 2) Comprehensive cv; 3) Empty text; 4) Extracts education; 5) Extracts email; 6) Extracts experience present; 7) Extracts experience with date range; 8) Extracts name; 9) Extracts portfolio urls; 10) Extracts skills; 11) Returns parsed cv,test-python,Lulus
TC-AS-003,Autentikasi & Sesi,User Authentication — Admin registration is blocked,"Skenario registrasi dan login, termasuk penolakan pendaftaran admin","1. Given a registration payload with role ""admin""  2. When the registration schema is validated",Registrasi dengan role admin ditolak. Login dan pendaftaran normal berjalan sesuai skenario.,1,BDD (skenario),Skenario,TypeScript,apps/auth-service/src/features/auth.spec.ts,validation should fail,test-unit,Lulus
TC-AS-004,Autentikasi & Sesi,User Authentication — Expired OTP is rejected,"Skenario registrasi dan login, termasuk penolakan pendaftaran admin",1. Given a user with an expired OTP code  2. When they verify the OTP,Registrasi dengan role admin ditolak. Login dan pendaftaran normal berjalan sesuai skenario.,1,BDD (skenario),Skenario,TypeScript,apps/auth-service/src/features/auth.spec.ts,the OTP verification should be rejected,test-unit,Lulus
TC-AS-005,Autentikasi & Sesi,User Authentication — Invalid phone format rejected,"Skenario registrasi dan login, termasuk penolakan pendaftaran admin","1. Given a registration payload with phone ""12345""  2. When the phone schema is validated",Registrasi dengan role admin ditolak. Login dan pendaftaran normal berjalan sesuai skenario.,1,BDD (skenario),Skenario,TypeScript,apps/auth-service/src/features/auth.spec.ts,validation should fail,test-unit,Lulus
TC-AS-006,Autentikasi & Sesi,User Authentication — OTP code must be 6 digits,"Skenario registrasi dan login, termasuk penolakan pendaftaran admin","1. Given an OTP code ""12345""  2. When the OTP schema is validated",Registrasi dengan role admin ditolak. Login dan pendaftaran normal berjalan sesuai skenario.,1,BDD (skenario),Skenario,TypeScript,apps/auth-service/src/features/auth.spec.ts,validation should fail,test-unit,Lulus
TC-AS-007,Autentikasi & Sesi,User Authentication — OTP verification succeeds,"Skenario registrasi dan login, termasuk penolakan pendaftaran admin",1. Given a user with a valid OTP code  2. When they verify the OTP,Registrasi dengan role admin ditolak. Login dan pendaftaran normal berjalan sesuai skenario.,1,BDD (skenario),Skenario,TypeScript,apps/auth-service/src/features/auth.spec.ts,the phone should be marked as verified,test-unit,Lulus
TC-AS-008,Autentikasi & Sesi,User Authentication — OTP with too many attempts is rejected,"Skenario registrasi dan login, termasuk penolakan pendaftaran admin",1. Given a user who exceeded OTP attempts  2. When they verify the OTP,Registrasi dengan role admin ditolak. Login dan pendaftaran normal berjalan sesuai skenario.,1,BDD (skenario),Skenario,TypeScript,apps/auth-service/src/features/auth.spec.ts,the OTP verification should be rejected,test-unit,Lulus
TC-AS-009,Autentikasi & Sesi,User Authentication — Owner registration with valid data,"Skenario registrasi dan login, termasuk penolakan pendaftaran admin","1. Given a valid owner registration payload  2. When the registration schema is validated  3. And the role should be ""owner""",Registrasi dengan role admin ditolak. Login dan pendaftaran normal berjalan sesuai skenario.,1,BDD (skenario),Skenario,TypeScript,apps/auth-service/src/features/auth.spec.ts,validation should pass,test-unit,Lulus
TC-AS-010,Autentikasi & Sesi,User Authentication — Password change requires minimum length,"Skenario registrasi dan login, termasuk penolakan pendaftaran admin","1. Given a new password ""short""  2. When the password is checked",Registrasi dengan role admin ditolak. Login dan pendaftaran normal berjalan sesuai skenario.,1,BDD (skenario),Skenario,TypeScript,apps/auth-service/src/features/auth.spec.ts,it should be rejected for being too short,test-unit,Lulus
TC-AS-011,Autentikasi & Sesi,User Authentication — Talent registration with valid data,"Skenario registrasi dan login, termasuk penolakan pendaftaran admin","1. Given a valid talent registration payload  2. When the registration schema is validated  3. And the role should be ""talent""",Registrasi dengan role admin ditolak. Login dan pendaftaran normal berjalan sesuai skenario.,1,BDD (skenario),Skenario,TypeScript,apps/auth-service/src/features/auth.spec.ts,validation should pass,test-unit,Lulus
TC-AS-012,Autentikasi & Sesi,User Authentication — Valid Indonesian phone accepted,"Skenario registrasi dan login, termasuk penolakan pendaftaran admin","1. Given a registration payload with phone ""+6281234567890""  2. When the phone schema is validated",Registrasi dengan role admin ditolak. Login dan pendaftaran normal berjalan sesuai skenario.,1,BDD (skenario),Skenario,TypeScript,apps/auth-service/src/features/auth.spec.ts,validation should pass,test-unit,Lulus
TC-AS-013,Autentikasi & Sesi,User Authentication — Valid OTP code accepted,"Skenario registrasi dan login, termasuk penolakan pendaftaran admin","1. Given an OTP code ""123456""  2. When the OTP schema is validated",Registrasi dengan role admin ditolak. Login dan pendaftaran normal berjalan sesuai skenario.,1,BDD (skenario),Skenario,TypeScript,apps/auth-service/src/features/auth.spec.ts,validation should pass,test-unit,Lulus
TC-AS-014,Autentikasi & Sesi,Sms,Pengiriman OTP lewat SMS,"1. Jalankan bun run test. 2. Buka apps/auth-service/src/lib/sms.test.ts. 3. Jalankan blok ""Sms"".","OTP terkirim ke nomor tujuan, dan kegagalan provider dilaporkan sebagai error.",5,TDD (unit),Unit,TypeScript,apps/auth-service/src/lib/sms.test.ts,1) Falls back to console in dev without keys; 2) Handles network error; 3) Returns Zenziva error on status 0; 4) Sends via Zenziva WA when keys configured; 5) Strips + prefix from phone,test-unit,Lulus
TC-AS-015,Autentikasi & Sesi,Client ip,Pengambilan IP client di balik proxy,"1. Jalankan bun run test. 2. Buka apps/auth-service/src/middleware/client-ip.test.ts. 3. Jalankan blok ""Client ip"".","IP client diambil dari hop yang dipasang proxy, bukan dari nilai yang dikirim client.",7,TDD (unit),Unit,TypeScript,apps/auth-service/src/middleware/client-ip.test.ts,"1) Falls back to unknown when neither header is set; 2) Gives one attacker one key however many hops they invent; 3) Handles a single-element header; 4) Ignores a client-supplied x-forwarded-for prefix; 5) Ignores whitespace-only values; 6) Prefers x-real-ip, which the proxy sets from the peer; 7) Takes the last hop when only x-forwarded-for is present",test-unit,Lulus
TC-AS-016,Autentikasi & Sesi,Error handler,Format response error yang konsisten,"1. Jalankan bun run test. 2. Buka apps/auth-service/src/middleware/error-handler.test.ts. 3. Jalankan blok ""Error handler"".",Semua error dijawab dengan format yang sama dan kode HTTP yang sesuai.,10,TDD (unit),Unit,TypeScript,apps/auth-service/src/middleware/error-handler.test.ts,1) Does not leak internal error details to client; 2) Handles AUTH_FORBIDDEN with 403; 3) Handles AUTH_UNAUTHORIZED with 401; 4) Handles AppError with correct status code and structure; 5) Handles AppError with details; 6) Handles CONFLICT with 409; 7) Handles NOT_FOUND with 404; 8) Handles RATE_LIMIT_EXCEEDED with 429; 9) Handles TypeError as 500; 10) Handles unknown errors as 500 INTERNAL_ERROR,test-unit,Lulus
TC-AS-017,Autentikasi & Sesi,Rate limit,Pembatasan jumlah request per jendela waktu,"1. Jalankan bun run test. 2. Buka apps/auth-service/src/middleware/rate-limit.test.ts. 3. Jalankan blok ""Rate limit"".","Request melebihi kuota dijawab 429, dan kuota kembali setelah jendela waktu lewat.",9,TDD (unit),Unit,TypeScript,apps/auth-service/src/middleware/rate-limit.test.ts,"1) Allows requests under the limit; 2) Cannot be reset by rotating the claimed prefix; 3) Decrements remaining count with each request; 4) Falls back to x-real-ip when x-forwarded-for not present; 5) Keys on the last hop, which the proxy appended; 6) Returns 429 when limit is exceeded; 7) Sets Retry-After header on 429; 8) Shows 0 remaining on 429; 9) Uses x-forwarded-for header for IP detection",test-unit,Lulus
TC-AS-018,Autentikasi & Sesi,Auth routes,Validasi input registrasi dan login,"1. Jalankan bun run test. 2. Buka apps/auth-service/src/routes/auth.test.ts. 3. Jalankan blok ""Auth routes"".","Password di bawah 8 karakter, nama di bawah 2 karakter, dan email tidak valid ditolak sebelum menyentuh database.",12,ATDD (kontrak API),Kontrak API,TypeScript,apps/auth-service/src/routes/auth.test.ts,1) Detects phone number starting with +62; 2) Rejects empty identifier; 3) Treats +1 prefix as email (non-Indonesian); 4) Treats non-+62 input as email; 5) Accepts valid owner registration; 6) Accepts valid talent registration; 7) Rejects admin role registration; 8) Rejects invalid phone format (not +62); 9) Rejects invalid role (not owner or talent); 10) Rejects missing phone number; 11) Rejects phone with less than 9 digits after +62; 12) Rejects phone with more than 13 digits after +62,test-unit,Lulus
TC-AS-019,Autentikasi & Sesi,Auth — IndonesianPhoneSchema,Validasi input registrasi dan login,"1. Jalankan bun run test. 2. Buka apps/auth-service/src/routes/auth.test.ts. 3. Jalankan blok ""Auth — IndonesianPhoneSchema"".","Password di bawah 8 karakter, nama di bawah 2 karakter, dan email tidak valid ditolak sebelum menyentuh database.",6,ATDD (kontrak API),Kontrak API,TypeScript,apps/auth-service/src/routes/auth.test.ts,1) Accepts valid +62 phone with 13 digits; 2) Accepts valid +62 phone with 9 digits; 3) Rejects phone with letters; 4) Rejects phone with too few digits; 5) Rejects phone with too many digits; 6) Rejects phone without +62 prefix,test-unit,Lulus
TC-AS-020,Autentikasi & Sesi,Auth — Me routes > PATCH /me,Validasi input registrasi dan login,"1. Jalankan bun run test. 2. Buka apps/auth-service/src/routes/auth.test.ts. 3. Jalankan blok ""Auth — Me routes > PATCH /me"".","Password di bawah 8 karakter, nama di bawah 2 karakter, dan email tidak valid ditolak sebelum menyentuh database.",10,ATDD (kontrak API),Kontrak API,TypeScript,apps/auth-service/src/routes/auth.test.ts,1) Accepts empty update (all fields optional); 2) Accepts locale update to en; 3) Accepts locale update to id; 4) Accepts name update within bounds; 5) Accepts valid phone update; 6) Does not reset phoneVerified when phone is not in payload; 7) Rejects invalid locale; 8) Rejects name shorter than 2 chars; 9) Resets phoneVerified when phone changes; 10) Validates phone format on update,test-unit,Lulus
TC-AS-021,Autentikasi & Sesi,Auth — Me routes > POST /me/change-password / RegisterUserSchema,Validasi input registrasi dan login,"1. Jalankan bun run test. 2. Buka apps/auth-service/src/routes/auth.test.ts. 3. Jalankan blok ""Auth — Me routes > POST /me/change-password / RegisterUserSchema"".","Password di bawah 8 karakter, nama di bawah 2 karakter, dan email tidak valid ditolak sebelum menyentuh database.",11,ATDD (kontrak API),Kontrak API,TypeScript,apps/auth-service/src/routes/auth.test.ts,1) Accepts valid password change input; 2) Rejects current password shorter than 8 chars; 3) Rejects if current password is wrong (simulated flow); 4) Rejects new password longer than 128 chars; 5) Rejects password shorter than 8 chars; 6) Accepts talent role; 7) Accepts valid registration input; 8) Rejects invalid email; 9) Rejects invalid role; 10) Rejects name shorter than 2 chars; 11) Rejects non-Indonesian phone,test-unit,Lulus
