Test Case ID,Modul,Fitur / Skenario,Langkah-Langkah,Hasil yang Diharapkan,Jumlah Verifikasi,Jenis,Level,Stack,File Sumber,Job CI,Status
TC-AK-001,Aplikasi & Kontrak,Team assignment,"1. Jalankan `bun run test`  2. Buka apps/project-service/src/lib/team-assignment.test.ts  3. Eksekusi blok ""Team assignment"" (12 verifikasi)",1) Is complete when every package is assigned or beyond; 2) Is not complete while an offer is still pending; 3) Is not complete with no packages; 4) Accepts a live pending offer; 5) Rejects a terminated assignment; 6) Rejects an offer already answered; 7) Accepts an empty batch; 8) Rejects a package that is not open; 9) Rejects the same package staffed twice; 10) Accepts one talent per open package; 11) Rejects a talent already assigned elsewhere on the project; 12) Rejects one talent taking two positions in the batch,12,TDD,Unit,TypeScript,apps/project-service/src/lib/team-assignment.test.ts,test-unit,Pass
TC-AK-002,Aplikasi & Kontrak,Application accept assignment,"1. Jalankan `bun run test`  2. Buka apps/project-service/src/routes/application-accept-assignment.test.ts  3. Eksekusi blok ""Application accept assignment"" (5 verifikasi)",1) Creates nothing on any other transition; 2) Creates the assignment when the owner accepts; 3) Picks an unassigned work package deterministically; 4) Refuses to accept when no work package is free; 5) Writes both inside the existing transaction,5,ATDD,Kontrak API,TypeScript,apps/project-service/src/routes/application-accept-assignment.test.ts,test-unit,Pass
TC-AK-003,Aplikasi & Kontrak,Applications integrity,"1. Jalankan `bun run test`  2. Buka apps/project-service/src/routes/applications-integrity.test.ts  3. Eksekusi blok ""Applications integrity"" (4 verifikasi)",1) Does not borrow the assignment subjects for an application decision; 2) Has its own accepted and rejected subjects; 3) Shows an applicant only their own application; 4) Lets a talent apply again after withdrawing or being rejected,4,ATDD,Kontrak API,TypeScript,apps/project-service/src/routes/applications-integrity.test.ts,test-unit,Pass
TC-AK-004,Aplikasi & Kontrak,Contract signing,"1. Jalankan `bun run test`  2. Buka apps/project-service/src/routes/contract-signing.test.ts  3. Eksekusi blok ""Contract signing"" (5 verifikasi)",1) Does not require a request body; 2) Has no role schema left to require; 3) Refuses a caller who is neither party; 4) Works out the signing party from the session; 5) Sends the PATCH the route now accepts,5,ATDD,Kontrak API,TypeScript,apps/project-service/src/routes/contract-signing.test.ts,test-unit,Pass
TC-AK-005,Aplikasi & Kontrak,Owner check adoption — Every project-scoped route / AssertProjectOwner,"1. Jalankan `bun run test`  2. Buka apps/project-service/src/routes/owner-check-adoption.test.ts  3. Eksekusi blok ""Every project-scoped route / AssertProjectOwner"" (11 verifikasi)",1) Applications.ts asks the helper; 2) Applications.ts keeps no ownership-only select of its own; 3) Contracts.ts asks the helper; 4) Contracts.ts keeps no ownership-only select of its own; 5) Milestones.ts asks the helper; 6) Milestones.ts keeps no ownership-only select of its own; 7) Projects.ts asks the helper; 8) Projects.ts keeps no ownership-only select of its own; 9) Work-packages.ts asks the helper; 10) Work-packages.ts keeps no ownership-only select of its own; 11) Lets the caller say what is being refused,11,ATDD,Kontrak API,TypeScript,apps/project-service/src/routes/owner-check-adoption.test.ts,test-unit,Pass
TC-AS-001,Autentikasi & Sesi,Test cv parser.py — TestExtractPhones,"1. Jalankan `cd apps/ai-service && uv run pytest`  2. Buka apps/ai-service/tests/test_cv_parser.py  3. Eksekusi blok ""TestExtractPhones"" (6 verifikasi)",1) No phone; 2) Phone with dashes zero prefix; 3) Indonesian 62; 4) Indonesian plus62 no space; 5) Indonesian plus62 with space not matched; 6) Indonesian zero,6,TDD,Unit,Python,apps/ai-service/tests/test_cv_parser.py,test-python,Pass
TC-AS-002,Autentikasi & Sesi,Test cv parser.py — TestParseCvText,"1. Jalankan `cd apps/ai-service && uv run pytest`  2. Buka apps/ai-service/tests/test_cv_parser.py  3. Eksekusi blok ""TestParseCvText"" (11 verifikasi)",1) Extracts phone; 2) Comprehensive cv; 3) Empty text; 4) Extracts education; 5) Extracts email; 6) Extracts experience present; 7) Extracts experience with date range; 8) Extracts name; 9) Extracts portfolio urls; 10) Extracts skills; 11) Returns parsed cv,11,TDD,Unit,Python,apps/ai-service/tests/test_cv_parser.py,test-python,Pass
TC-AS-003,Autentikasi & Sesi,User Authentication — Admin registration is blocked,"1. Given a registration payload with role ""admin""  2. When the registration schema is validated",validation should fail,1,BDD,Skenario (BDD),TypeScript,apps/auth-service/src/features/auth.spec.ts,test-unit,Pass
TC-AS-004,Autentikasi & Sesi,User Authentication — Expired OTP is rejected,1. Given a user with an expired OTP code  2. When they verify the OTP,the OTP verification should be rejected,1,BDD,Skenario (BDD),TypeScript,apps/auth-service/src/features/auth.spec.ts,test-unit,Pass
TC-AS-005,Autentikasi & Sesi,User Authentication — Invalid phone format rejected,"1. Given a registration payload with phone ""12345""  2. When the phone schema is validated",validation should fail,1,BDD,Skenario (BDD),TypeScript,apps/auth-service/src/features/auth.spec.ts,test-unit,Pass
